Film_ID,Film_Title,Title_ID,Title_Name,Theatrical_Release_Date,Film_Runtime,Language,Market_Language,Release_Pattern,Performance_Type,Is_IMAX,Is_DBOX_Capable,Release_Status,Media_Class_Description,Is_4Dx,Genre_Hierarchy_1
22345,Interstellar: The IMAX Experience?,19827,Interstellar,11/7/2014,169,English,English,Wide,Film Presentation,1,0,A,Adult,0,Drama
22344,Nos toiles contraires,20148,The Fault In Our Stars,6/6/2014,126,French,French,Wide,Film Presentation,0,0,A,Adult,0,Drama
22343,L'extraordinaire Spider-Man 2,18483,The Amazing Spider-Man 2,5/2/2014,144,French,French,Wide,Film Presentation,0,1,A,Adult,0,Adaptation
22342,Casse-Tte Chinois,20334,Chinese Puzzle (French w/e.s.t.),4/25/2014,117,French,French,Ltd,Film Presentation,0,0,B,Adult,0,Drama
22341,Fiston,20333,Fiston,3/28/2014,88,French,French,Ltd,Film Presentation,0,0,B,Adult,0,Comedy
22340,Bunker,20332,Bunker,3/7/2014,86,French,French,Ltd,Film Presentation,0,0,B,Adult,0,Drama
22339,Avant l'hiver,20331,Avant l'hiver,3/7/2014,102,French,French,Ltd,Film Presentation,0,0,B,Adult,0,Drama
22338,Un lancer  un million de dollars,20043,Million Dollar Arm,5/16/2014,124,French,French,Wide,Film Presentation,0,0,A,Family,0,Drama
22337,Godzilla (v.f.),19142,Godzilla 2014,5/16/2014,123,French,French,Wide,Film Presentation,0,1,A,Adult,0,Action
22336,L'hypnotiseur,20330,L'hypnotiseur,2/28/2014,112,French,French,Ltd,Film Presentation,0,0,B,Adult,0,Adaptation
22335,"Les garons et Guillaume,  table",20329,"Les garons et Guillaume,  table",3/14/2014,85,French,French,Ltd,Film Presentation,0,0,B,Family,0,Comedy
22334,100% Cachemire,20328,100% Cachemire,1/31/2014,98,French,French,Ltd,Film Presentation,0,0,B,Family,0,Comedy
22333,The Past (French w/e.s.t.),20189,Le pass,1/24/2014,130,French,English,Ltd,Film Presentation,0,0,B,Adult,0,Drama
22332,The Green Inferno,20327,The Green Inferno,9/25/2015,100,English,English,Wide,Film Presentation,0,0,B,Adult,0,Thriller
22331,Ice Age: Collision Course,20326,Ice Age: Collision Course,7/22/2016,95,English,English,Wide,Film Presentation,0,1,A,Family,0,Comedy
22330,Rhymes for Young Ghouls,20325,Rhymes for Young Ghouls,1/31/2014,88,English,English,Ltd,Film Presentation,0,0,B,Adult,0,Drama
22329,Whitewash,19919,Whitewash,1/24/2014,91,English,English,Ltd,Film Presentation,0,0,B,Adult,0,Drama
22328,Big Bad Wolves (Hebrew w/e.s.t.),20324,Big Bad Wolves (Hebrew w/e.s.t.),1/17/2014,110,Hebrew,English,Ltd,Film Presentation,0,0,B,Adult,0,Comedy
22327,Noeud du Diable,20315,DEVIL'S KNOT,1/24/2014,115,French,French,Wide,Film Presentation,0,0,B,Adult,0,Drama
22326,Blue Jasmine,20323,Blue Jasmine,1/24/2014,98,English,English,Excl,Alt Prog Film Event,0,0,B,Adult,0,Drama
22325,Enough Said,20322,Enough Said,1/17/2014,93,English,English,Excl,Alt Prog Film Event,0,0,B,Adult,0,Comedy
22324,The Sweet Smell of Success - A Film 101 Presentation,20321,The Sweet Smell of Success - A Film 101 Presentation,1/14/2014,96,English,English,Excl,Alt Prog Film Event,0,0,B,Adult,0,Drama
22323,Lawrence of Arabia,20320,Lawrence of Arabia,1/3/2014,216,English,English,Excl,Alt Prog Film Event,0,0,B,Family,0,Drama
22322,Django Unchained,20319,Django Unchained,1/24/2014,165,English,English,Excl,Alt Prog Film Event,0,0,B,Adult,0,Action
22321,Inglorious Basterds,20318,Inglorious Basterds,1/17/2014,153,English,English,Excl,Alt Prog Film Event,0,0,B,Adult,0,Drama
22320,Pulp Fiction,20317,Pulp Fiction,1/10/2014,154,English,English,Excl,Alt Prog Film Event,0,0,B,Adult,0,Drama
