CINEPLEX_Item_ID,CINEPLEX_Item_Description,CINEPLEX_Item_Status,EIS_Group_Description,EIS_Sub_Group_Description,Item_Report_Code2,Item_Report_Code3,Item_Class_Description1,Item_Class_Description2,Item_Class_Description3,Is_Item_Package,Is_Box_Office_Item,US_Is_Butter,US_Is_Kiddietray,US_Is_Voucher,US_Is_LrgPopcorn,US_Is_Coffee,US_Is_Candy,US_Is_Alcohol,US_Is_MenuFood
29219,BP TAG+$20 - 130 CR,A,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
29221,TAG $25 - 160 CR,A,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
29222,BP TAG+$25 - 170 CR,A,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
29224,TAG $30 - 200 CR,A,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
29225,BP TAG+$30 - 210 CR,A,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
29226,PREM TAG+$30 - 212 CR,A,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
29230,FOOD TAG $5 - 40 CR,A,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
29231,FOOD BP TAG $7 - 48 CR,A,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
29250,PROMO BP+$20 - 168 CR,I,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
29608,GAMES - 40 Credit (Food Offer),I,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
29624,TAG - Intercard 200 Credit,I,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
29626,TAG - INT - BEGIN PREMIUM,I,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
29637,Premium TAG - Intercard 210 Credit,I,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
